variable,unit,label,time_period,lower limit of whisker,lower limit of box,line,upper limit of box,upper limit of whisker,marker
Surface Temperature (GSAT) relative to 1850-1900,K,C1,2100,0.7625178814,1.1074623973885964,1.334184223873256,1.4647976522010584,2.2432403093999995,
Surface Temperature (GSAT) relative to 1850-1900,K,C1,peak (over 21st Century),,1.449625020446546,1.580870829502971,1.6134781415350374,,
Surface Temperature (GSAT) relative to 1850-1900,K,C2,2100,0.8062314298000001,1.1713818199500698,1.408521161683411,1.4907816908145068,2.3373859032,
Surface Temperature (GSAT) relative to 1850-1900,K,C2,peak (over 21st Century),,1.546163243433471,1.695985249960659,1.8072889690627765,,
Surface Temperature (GSAT) relative to 1850-1900,K,C3,2100,0.9992887395,1.4596307773536543,1.620082576129338,1.7521246134098414,2.6797640175,
Surface Temperature (GSAT) relative to 1850-1900,K,C3,peak (over 21st Century),,1.5566657033544915,1.749523436359193,1.8354188104608256,,
Surface Temperature (GSAT) relative to 1850-1900,K,C4,2100,1.0942637715,1.526510692876642,1.826053176400547,1.971260013309012,2.9903557022,
Surface Temperature (GSAT) relative to 1850-1900,K,C4,peak (over 21st Century),,1.7315451707269174,1.91005978241596,1.991871029764381,,
Surface Temperature (GSAT) relative to 1850-1900,K,C5,2100,1.31627330705,1.857084840201532,2.112656627933136,2.4621764790524066,3.59232690465,
Surface Temperature (GSAT) relative to 1850-1900,K,C5,peak (over 21st Century),,1.8946335129433665,2.153947556753821,2.4621764790524066,,
Surface Temperature (GSAT) relative to 1850-1900,K,C6,2100,1.7638813244705214,2.357568146056178,2.685908040322093,2.933692780947177,4.313337945599999,
Surface Temperature (GSAT) relative to 1850-1900,K,C6,peak (over 21st Century),,2.357568146056178,2.685908040322093,2.933692780947177,,
Surface Temperature (GSAT) relative to 1850-1900,K,C7,2100,2.145699085185819,2.8463471730514938,3.477711334168289,3.916755356615029,5.5692920335,
Surface Temperature (GSAT) relative to 1850-1900,K,C7,peak (over 21st Century),,2.8463471730514938,3.477711334168289,3.916755356615029,,
Surface Temperature (GSAT) relative to 1850-1900,K,C8,2100,2.771495212512483,3.7417146674631128,4.222525018762076,4.980976288820409,7.040751039599999,
Surface Temperature (GSAT) relative to 1850-1900,K,C8,peak (over 21st Century),,3.7417146674631128,4.222525018762076,4.980976288820409,,
Surface Temperature (GSAT) relative to 1850-1900,K,SSP1-1.9,peak (over 21st Century),,,,,,1.568121078904943
Surface Temperature (GSAT) relative to 1850-1900,K,SSP1-1.9,2100,,,,,,1.381425827069057
Surface Temperature (GSAT) relative to 1850-1900,K,SSP1-2.6,peak (over 21st Century),,,,,,1.801170644543945
Surface Temperature (GSAT) relative to 1850-1900,K,SSP1-2.6,2100,,,,,,1.719843106767861
Surface Temperature (GSAT) relative to 1850-1900,K,SSP2-4.5,peak (over 21st Century),,,,,,2.7564334660428784
Surface Temperature (GSAT) relative to 1850-1900,K,SSP2-4.5,2100,,,,,,2.7564334660428784
Surface Temperature (GSAT) relative to 1850-1900,K,SSP3-7.0,peak (over 21st Century),,,,,,3.945062650568618
Surface Temperature (GSAT) relative to 1850-1900,K,SSP3-7.0,2100,,,,,,3.945062650568618
Surface Temperature (GSAT) relative to 1850-1900,K,SSP5-8.5,peak (over 21st Century),,,,,,4.779701307284495
Surface Temperature (GSAT) relative to 1850-1900,K,SSP5-8.5,2100,,,,,,4.779701307284495
Surface Temperature (GSAT) relative to 1850-1900,K,IMP-SP,peak (over 21st Century),,,,,,1.55388288492077
Surface Temperature (GSAT) relative to 1850-1900,K,IMP-SP,2100,,,,,,1.168625722853322
Surface Temperature (GSAT) relative to 1850-1900,K,IMP-LD,peak (over 21st Century),,,,,,1.601298168781928
Surface Temperature (GSAT) relative to 1850-1900,K,IMP-LD,2100,,,,,,1.279049451488222
Surface Temperature (GSAT) relative to 1850-1900,K,IMP-Ren,peak (over 21st Century),,,,,,1.570226117013843
Surface Temperature (GSAT) relative to 1850-1900,K,IMP-Ren,2100,,,,,,1.404114405882136
Surface Temperature (GSAT) relative to 1850-1900,K,IMP-Neg,peak (over 21st Century),,,,,,1.79993155159327
Surface Temperature (GSAT) relative to 1850-1900,K,IMP-Neg,2100,,,,,,1.543232887385978
Surface Temperature (GSAT) relative to 1850-1900,K,IMP-GS,peak (over 21st Century),,,,,,1.747986719473548
Surface Temperature (GSAT) relative to 1850-1900,K,IMP-GS,2100,,,,,,1.679766836868521
Surface Temperature (GSAT) relative to 1850-1900,K,ModAct,peak (over 21st Century),,,,,,2.685908040322093
Surface Temperature (GSAT) relative to 1850-1900,K,ModAct,2100,,,,,,2.685908040322093
Surface Temperature (GSAT) relative to 1850-1900,K,CurPol,peak (over 21st Century),,,,,,3.045831548925099
Surface Temperature (GSAT) relative to 1850-1900,K,CurPol,2100,,,,,,3.045831548925099
